"Code","ID"
"ABS1","ABS1_Black_Fragment"
"C1","C1_Black_Fiber"
"C2","C2_Blue_Fiber"
"C3","C3_Blue_Fiber"
"C4","C4_Green_Fiber"
"C5","C5_Pink_Fiber_Bundle"
"C6","C6_Red_Fiber"
"C7","C7_Blue_Fiber"
"C8","C8_Pink_Fiber_Bundle"
"C9","C9_Grey_Fiber"
"C10","C10_Grey_Fiber"
"C11","C11_Pink_Fiber"
"C12","C12_Orange_Fiber"
"CA1","CA1_White_Foam"
"CA2","CA2_Grey_Foam"
"EAA1","EAA1_Clear_Pellet"
"EVA1","EVA1_White_Foam"
"EVA2","EVA2_Yellow_Fragment"
"EVA3","EVA3_Grey_Foam"
"EVA4","EVA4_Clear_Film"
"EVA5","EVA5_Green_Fiber"
"PA1","PA1_Green_Film"
"PA2","PA2_Orange_Fragment"
"PA3","PA3_Orange_Fragment"
"PA4","PA4_Orange_Fiber"
"PA5","PA5_Blue_Fragment"
"PA6","PA6_Clear_Film"
"PC1","PC1_White_Fragment"
"PE1","PE1_Black_Pellet"
"PE2","PE2_White_Pellet"
"PE3","PE3_Clear_Pellet"
"PE4","PE4_Blue_Pellet"
"PE40","PE40_Clear_Fragment"
"PE41","PE41_Green_Fragment"
"PE42","PE42_Blue_Sphere"
"PE43","PE43_Pink_Fragment"
"PE44","PE44_Redpellet"
"PE45","PE45_Black_Pellet"
"PE46","PE46_Pink_Fragment"
"PE47","PE47_Red_Fragment"
"PE48","PE48_Green_Sphere"
"PE49","PE49_Pink_Sphere"
"PE5","PE5_Blue_Pellet"
"PE6","PE6_Red_Pellet"
"PE7","PE7_Grey_Pellet"
"PE8","PE8_Blue_Fragment"
"PE9","PE9_Clear_Fragment"
"PE10","PE10_Blue_Fragment"
"PE11","PE11_Green_Fragment"
"PE12","PE12_White_Film"
"PE13","PE13_White_Fragment"
"PE14","PE14_Green_Fragment"
"PE15","PE15_Blue_Film"
"PE16","PE16_White_Fragment"
"PE17","PE17_Green_Fragment"
"PE18","PE18_White_Fragment"
"PE19","PE19_Blue_Fragment"
"PE20","PE20_Yellow_Fragment"
"PE21","PE21_Pink_Fragment"
"PE22","PE22_Red_Film"
"PE23","PE23_Purple_Film"
"PE24","PE24_Clear_Film"
"PE25","PE25_Orange_Foam"
"PE26","PE26_Blue_Foam"
"PE27","PE27_White_Fragment"
"PE28","PE28_White_Film"
"PE29","PE29_Yellow_Fragment"
"PE30","PE30_Black_Fragment"
"PE31","PE31_Orange_Fragment"
"PE32","PE32_Red_Fragment"
"PE33","PE33_Brown_Fragment"
"PE34","PE34_Black_Fragment"
"PE35","PE35_Black_Fragment"
"PE36","PE36_Red_Fragment"
"PE37","PE37_Yellow_Fragment"
"PE38","PE38_Grey_Fragment"
"PE39","PE39_White_Fragment"
"PET1","PET1_White_Fragment"
"PET2","PET2_Black_Fragment"
"PET3","PET3_Clear_Fragment"
"PET4","PET4_White_Fragment"
"PET5","PET5_Blue_Fragment"
"PET6","PET6_Black_Fiber"
"PET7","PET7_White_Fiber_Bundle"
"PET8","PET8_Black_Fiber"
"PET9","PET9_Yellow_Fiber_Bundle"
"PET10","PET10_Purple_Fiber_Bundle"
"PET11","PET11_Blue_Fiber_Bundle"
"PET12","PET12_White_Fiber_Bundle"
"PET13","PET13_Black_Fiber"
"PET14","PET14_Orange_Fiber"
"PET15","PET15_Orange_Fiber"
"PET16","PET16_Red_Film"
"PET17","PET17_Orange_Foam"
"PET18","PET18_Black_Fiber"
"PET19","PET19_Green_Fiber"
"PET20","PET20_Green_Fiber"
"PET21","PET21_Clear_Fragment"
"PET22","PET22_Clear_Film"
"PMMA1","PMMA1_Orange_Fragment"
"PMMA2","PMMA2_Red_Fiber"
"PP1","PP1_White_Fragment"
"PP2","PP2_Purple_Fragment"
"PP3","PP3_Yellow_Fragment"
"PP4","PP4_Red_Fragment"
"PP5","PP5_Green_Fragment"
"PP6","PP6_Red_Fragment"
"PP7","PP7_Blue_Fiber"
"PP8","PP8_Orange_Fragment"
"PP9","PP9_Green_Fragment"
"PP10","PP10_Yellow_Fragment"
"PP11","PP11_Yellow_Straw_Fragment"
"PP12","PP12_White_Fragment"
"PP13","PP13_Grey_Fragment"
"PP14","PP14_Orange_Fragment"
"PP15","PP15_Pink_Fragment"
"PP16","PP16_Yellow_Fragment"
"PP17","PP17_Red_Fragment"
"PP18","PP18_Grey_Fragment"
"PP19","PP19_White_Fiber"
"PP20","PP20_White_Film"
"PP21","PP21_Grey_Fragment"
"PP22","PP22_Red_Fragment"
"PP23","PP23_Yellow_Fragment"
"PP24","PP24_Clear_Fragment"
"PP25","PP25_Orange_Fragment"
"PP26","PP26_Yellow_Fiber"
"PP27","PP27_Blue_Fragment"
"PP28","PP28_Red_Fragment"
"PP29","PP29_Green_Fragment"
"PP30","PP30_Clear_Fragment"
"PP31","PP31_Purple_Fragment"
"PP32","PP32_Blue_Film"
"PP33","PP33_Clear_Film"
"PP34","PP34_Brown_Film"
"PP35","PP35_Clear_Film"
"PP36","PP36_Purple_Film"
"PP37","PP37_White_Fragment"
"PP38","PP38_Blue_Fragment"
"PP39","PP39_Black_Fragment"
"PP40","PP40_Green_Fragment"
"PP41","PP41_Clear_Fragment"
"PP42","PP42_Clear_Fragment"
"PP43","PP43_Green_Fragment"
"PP44","PP44_Clear_Fragment"
"PP45","PP45_Orange_Fragment"
"PP46","PP46_White_Fragment"
"PP47","PP47_Clear_Fragment"
"PP48","PP48_Brown_Fragment"
"PP49","PP49_Black_Fragment"
"PP50","PP50_Green_Fragment"
"PP51","PP51_White_Fragment"
"PP52","PP52_White_Fragment"
"PP53","PP53_Blue_Fragment"
"PP54","PP54_Red_Fragment"
"PP55","PP55_Green_Fragment"
"PP56","PP56_Yellow_Film"
"PP57","PP57_White_Film"
"PP58","PP58_Clear_Film"
"PP59","PP59_Clear_Fragment"
"PP60","PP60_Orange_Fragment"
"PP61","PP61_White_Fragment"
"PP62","PP62_Orange_Fiber"
"PP63","PP63_Green_Fiber"
"PP64","PP64_Blue_Fiber"
"PP65","PP65_Clear_Fiber"
"PP66","PP66_Blackfiber"
"PS1","PS1_White_Foam"
"PS2","PS2_White_Foam"
"PS3","PS3_Blue_Foam"
"PS4","PS4_White_Foam"
"PS5","PS5_White_Foam"
"PS6","PS6_White_Foam"
"PS7","PS7_White_Foam"
"PS8","PS8_White_Foam"
"PS9","PS9_White_Foam"
"PS10","PS10_Clear_Film"
"PS11","PS11_Clear_Sphere"
"PS12","PS12_Orange_Foam"
"PU1","PU1_Orange_Foam"
"PU2","PU2_Orange_Foam"
"PU3","PU3_Orange_Foam"
"PU4","PU4_Grey_Foam"
"PU5","PU5_Yellow_Foam"
"PU6","PU6_Yellow_Fragment"
"PVC1","PVC1_Clear_Fragment"
"PVC2","PVC2_Blue_Fragment"
"PVC3","PVC3_Orange_Foam"
"PVC4","PVC4_White_Fragment"
"PVC5","PVC5_White_Foam"
"PVC6","PVC6_Clear_Film"
"PVC7","PVC7_Green_Film"
"PVC8","PVC8_Grey_Fragment"
"PVC9","PVC9_White_Fragment"
"SR1","SR1_Clear_Fragment"
