"","City","Compact","Open","Lightweight","Industry","Type","Global","Region"
"1","New York",610.41,1041.08,0.01,317.63,"Compact-Open","North","North America"
"2","Sao Paulo",1122.36,619.8,0.01,218.86,"Compact-Open","South","South America"
"3","Shanghai",165.96,832.96,0.01,947.26,"Industrial","South","Eastern Asia"
"4","Beijing",542.9,1038.96,0.01,288.76,"Compact-Open","South","Eastern Asia"
"5","Jakarta",1195.5,12.31,0.01,519.77,"Compact","South","South Asia"
"6","Guangzhou",736.99,203.64,0.01,766.71,"Compact","South","Eastern Asia"
"7","Melbourne",939.52,265.05,0.01,382.67,"Compact","North","Australia"
"8","Paris",180.03,1121.7,0.01,147.88,"Open","North","Europe"
"9","London",11.25,1031.39,0.01,128.99,"Open","North","Europe"
"10","Moscow",28.13,894.69,0.01,124.67,"Open","North","Europe"
"11","Cairo",559.77,131.49,0.01,357.58,"Compact","South","Africa"
"12","Sydney",371.31,399.3,0.01,135.2,"Compact-Open","North","Australia"
"13","Nanjing",39.38,366.9,0.01,484.69,"Industrial","South","Eastern Asia"
"14","Istanbul",486.64,245.11,0.01,145.72,"Compact-Open","South","Western Asia"
"15","Milan",222.22,268.26,0.01,337.07,"Industrial","North","Europe"
"16","Washington DC",160.34,511.5,0.01,147.61,"Open","North","North America"
"17","Qingdao",120.96,320.94,0.01,262.85,"Industrial","South","Eastern Asia"
"18","Wuhan",14.06,311.25,0.01,360.54,"Industrial","South","Eastern Asia"
"19","Berlin",36.57,526.78,0.01,64.49,"Open","North","Europe"
"20","Santiago de Chile",444.44,68.7,0.01,91.75,"Compact","South","South America"
"21","Cape Town",126.58,292.65,23.75,149.78,"Open-Lightweight","South","Africa"
"22","Mumbai",81.58,292.32,36.7,151.13,"Open-Lightweight","South","South Asia"
"23","Madrid",67.51,366.29,0.01,110.37,"Open","North","Europe"
"24","Vancouver",334.74,35.91,0.01,165.42,"Compact","North","North America"
"25","Tehran",272.86,49.22,0.01,189.71,"Compact","South","Western Asia"
"26","Changsha",115.33,163.03,0.01,198.35,"Industrial","South","Eastern Asia"
"27","Rome",95.64,341.4,0.01,41.01,"Open","North","Europe"
"28","San Francisco",272.86,18.46,0.01,169.2,"Compact","North","North America"
"29","Rio de Janeiro",334.74,56.96,0.01,64.76,"Compact","South","South America"
"30","Islamabad",202.53,82.3,50.2,36.43,"Open-Lightweight","South","South Asia"
"31","Amsterdam",14.06,97.51,0.01,246.39,"Industrial","North","Europe"
"32","Nairobi",67.51,202.75,20.24,58.02,"Open-Lightweight","South","Africa"
"33","Lisbon",168.78,107.96,0.01,59.63,"Compact-Open","North","Europe"
"34","Munich",14.06,214.09,0.01,70.43,"Open","North","Europe"
"35","Dongying",28.13,164.41,0.01,57.47,"Open","South","Eastern Asia"
"36","Cologne",0.01,179.57,0.01,51.54,"Open","North","Europe"
"37","Kyoto",168.78,5.95,0.01,49.65,"Compact","North","Eastern Asia"
"38","Shenzhen",36.57,97.67,0.01,73.94,"Industrial","South","Eastern Asia"
"39","Zurich",14.06,155.8,0.01,26.17,"Open","North","Europe"
"40","Hong Kong",67.51,58.64,0.01,18.61,"Compact-Open","South","Eastern Asia"
