Group,Replicate,Easting,Northing,Hemicordulia tau,Notalina spira,Homeodytes sp.,Boeckella sp.,Metacyclops sp.,Daphnia sp.,Aelosoma sp.,Palaemonetes australis,Chelodina colliei,Limnodynastes dorsalis,Litoria moorei,Menetia greyii,Anas superciliosa,Anas gracilis,Cygnus atratus,Phalacrocorax sulcirostris,Fulica atra,Porphyrio porphyrio,Isoodon obesulus,Canis familiaris,Rattus sp.
1,1,384390,6462053,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1
1,2,384390,6462053,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
1,3,384390,6462053,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1
2,1,384576,6461947,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1
2,2,384576,6461947,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1
2,3,384576,6461947,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1
3,1,384600,6462101,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1
3,2,384600,6462101,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
3,3,384600,6462101,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1
4,1,384623,6461514,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
4,2,384623,6461514,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1
4,3,384623,6461514,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
5,1,384464,6461607,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1
5,2,384464,6461607,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1
5,3,384464,6461607,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1
6,1,384543,6461361,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1
6,2,384543,6461361,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1
6,3,384543,6461361,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1
7,1,384222,6461825,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1
7,2,384222,6461825,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1
7,3,384222,6461825,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1
8,1,384513,6461815,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1
8,2,384513,6461815,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1
8,3,384513,6461815,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1
9,1,384473,6462124,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
9,2,384473,6462124,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1
9,3,384473,6462124,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1
